FID,id,geom,oid,sr_no,girth_cm,height_m,canopy_dia_m,condition,other_remarks,ownership,society_name,road_name,northing,easting,balanced,remarks,special_collar,ward_name,botanical_name,saar_uid,common_name,local_name,economic_i,phenology,flowering,ward,is_rare
trees_display.fid--1672c0a_16c6758e284_846,18044499,POINT (73.78876056500008 18.555042430000057),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55504243,73.78876057,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029559,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_847,18044500,POINT (73.78877900500007 18.555074533000028),,,28,4,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55507453,73.788779,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029561,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_848,18044501,POINT (73.78874648400004 18.555052601000046),,,28,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.5550526,73.78874648,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029562,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_849,18044502,POINT (73.78881085700007 18.555050058000045),,,28,4,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55505006,73.78881086,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029563,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_84a,18044503,POINT (73.78878705200003 18.55504719800005),,,28,4,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.5550472,73.78878705,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029564,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_84b,18044504,POINT (73.90140429100008 18.517153297000053),,,98,8,5,Healthy,,Private,Na,Kawade Mala Road,18.5171533,73.90140429,TRUE,Mechanically cut,N/A,41,Pongamia pinnata (L.) Pierre,4029610,Pongam Tree,Karanj,Medicinal,Seasonal,March-August,41,FALSE
trees_display.fid--1672c0a_16c6758e284_84c,18044505,POINT (73.90144016600004 18.51721560900005),,,59,8,5,Healthy,,Private,Na,Kawade Mala Road,18.51721561,73.90144017,TRUE,Mechanically cut,N/A,41,Azadirachta indica Juss.,4029617,Neem,Neem,Medicinal,Seasonal,March-May,41,FALSE
trees_display.fid--1672c0a_16c6758e284_84d,18044506,POINT (73.78879543400005 18.55506181900006),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55506182,73.78879543,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029565,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_84e,18044507,POINT (73.78883365500006 18.555067222000048),,,28,4,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55506722,73.78883366,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029566,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_84f,18044508,POINT (73.78884539000005 18.555069447000037),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55506945,73.78884539,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029567,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_850,18044509,POINT (73.78876794100006 18.555072308000025),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55507231,73.78876794,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029569,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_851,18044510,POINT (73.78882996700008 18.555080254000064),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55508025,73.78882997,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029568,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_852,18044511,POINT (73.78883969000002 18.55503925200002),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55503925,73.78883969,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029571,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_853,18044512,POINT (73.78884002600007 18.55508247900007),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55508248,73.78884003,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029570,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_854,18044513,POINT (73.7888541070001 18.55507230800004),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55507231,73.78885411,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029572,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_855,18044514,POINT (73.78885276600003 18.555042748000055),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55504275,73.78885277,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029573,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_856,18044515,POINT (73.78885779500007 18.555058005000028),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.555058,73.78885779,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029574,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_857,18044516,POINT (73.78881856800004 18.555077711000024),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55507771,73.78881857,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029575,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_858,18044517,POINT (73.90139758600004 18.51724295000001),,,59,8,3,Healthy,,Private,Na,Kawade Mala Road,18.51724295,73.90139759,TRUE,Mechanically cut,N/A,41,Senna siamea (Lam.) Irwin & Barneby,4029613,Siamese Cassia,Kashid,Ornamental,Seasonal,August-May,41,FALSE
trees_display.fid--1672c0a_16c6758e284_859,18044518,POINT (73.90144351900008 18.517171736000023),,,86,8,5,Healthy,,Government,Na,Kawade Mala Road,18.51717174,73.90144352,TRUE,Mechanically cut,N/A,41,Azadirachta indica Juss.,4029618,Neem,Neem,Medicinal,Seasonal,March-May,41,FALSE
trees_display.fid--1672c0a_16c6758e284_85a,18044519,POINT (73.90143245500008 18.517136448000024),,,102,8,5,Healthy,,Private,Na,Kawade Mala Road,18.51713645,73.90143246,TRUE,Mechanically cut,N/A,41,Senna siamea (Lam.) Irwin & Barneby,4029621,Siamese Cassia,Kashid,Ornamental,Seasonal,August-May,41,FALSE
trees_display.fid--1672c0a_16c6758e284_85b,18044520,POINT (73.78882359700003 18.55506309000004),,,28,4,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55506309,73.7888236,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029576,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_85c,18044521,POINT (73.7887552010001 18.555068494000068),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55506849,73.7887552,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029577,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
