fid,id,oid,sr_no,girth_cm,height_m,canopy_dia_m,condition,ownership,society_name,road_name,northing,easting,balanced,special_collar,ward_name,botanical_name,saar_uid,common_name,local_name,economic_i,phenology,flowering,ward,is_rare
trees_display.fid--1672c0a_16c6758e284_-734,18040537,,,16,3,2,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50775823,73.9067667,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024560,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-733,18040538,,,14,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50773598,73.90681129,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024561,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-732,18040539,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50774583,73.90681967,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024562,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-731,18040540,,,10,2,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50775092,73.90680257,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024563,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-730,18040541,,,14,3,2,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50776459,73.90679386,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024564,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-72f,18040542,,,14,3,2,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50775442,73.90678346,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024565,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-72e,18040543,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50778621,73.90677139,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024566,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-72d,18040544,,,14,3,2,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50781228,73.90680425,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024567,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-72c,18040545,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.5077328,73.90679453,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024568,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-72b,18040546,,,10,2,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50774043,73.9067838,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024569,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
